indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
85.88,2.42,83.89,17.17,1
87.74,10.87,89.84,26.09,1
83.96,40.96,86.32,40.64,1
85.63,1.74,86.33,1.74,1
84.4,6.98,86.63,5.43,1
79.15,42.57,79.94,47.61,1
83.39,10.43,81,23.27,1
83.69,7.36,83.19,24.7,1
83.23,33.33,83.94,43.1,1
86.97,7.08,87.55,9.73,1
82.28,6.88,83.19,6.37,1
85.97,43.69,85.29,60.69,1
82.04,17.39,80.1,20.38,1
79.89,37.02,80.64,34.38,1
89.21,20.39,88.22,13.41,1
79.96,34.76,79.74,48.07,1
85.6,11.23,84.14,12.41,1
84.36,10,83.06,11.06,1
87.98,6.44,88.29,6.01,1
84.1,11.27,86.66,10.8,1
84.43,4.27,84.61,8.26,1
83.35,23.48,80.24,18.02,0
82.29,10.22,81.72,14.9,0
89.19,9.56,90.87,11.05,1
80.77,6.59,81.86,5.86,1
86.05,16.27,86.07,16.53,1
82.98,8.92,84.24,6.6,1
82.17,24.66,83.94,28.7,1
85.71,20.09,84.07,35.66,1
85.63,21.46,83.82,19.87,1
84.61,37.9,86.34,38.63,1
84.72,1.27,84.35,1.49,0
83.38,1.88,81.44,6.24,1
86.11,16.44,84.92,23.61,1
79.53,18.18,81.34,15.98,1
84.21,37.35,83.58,36.09,0
81.7,30.56,81.91,40.53,1
84.92,32.99,86.67,29.21,1
84.3,7.32,86.22,8.33,1
85.45,23.74,86.62,33.89,0
84.89,13.39,87.52,9.07,0
82.54,9.26,82.01,25.47,1
87.09,20.91,86.71,23.52,1
87.63,6.02,85.79,9.48,1
87.02,29.61,88.02,30.26,1
83.31,10.91,78.85,22.58,1
84.91,25.3,84.24,29.84,1
88,13.89,90.33,6.25,1
82.04,24.07,83.21,22.74,1
82.25,11.76,81.9,12.18,1
83.62,10.28,85.14,8.41,1
77.76,21.67,75.97,30.56,1
85.82,8.02,89.04,9.86,1
88.62,12.85,89.9,12.41,0
82.72,18.24,83.26,17.54,1
82.92,23.36,84.02,26.17,1
86.48,31.36,86.53,25.04,1
82.02,15.33,79.8,29.04,1
81.88,3.23,83.1,2.6,1
87.6,1.07,88.11,1.27,0
78.69,50.21,77.46,46.21,1
86.77,26.36,86.69,32.83,1
88.04,25.23,88.58,30.82,0
88.34,28.63,89.76,24.38,1
79.18,19.05,79.07,36.51,1
79.52,13.49,79.37,32.54,0
84.37,23.53,84.62,24.93,1
85.93,24.09,84.41,21.51,1
83.34,16.36,83.86,21.81,1
82.92,49.48,82.41,47.77,1
79.33,47.11,80.61,52.2,1
88.5,7.98,88.71,9.01,1
84.04,7.91,86.78,4.47,1
82.48,5,83.85,7.29,1
88.18,4.72,88.17,5.15,1
82.76,6.33,81.2,15.19,1
82.91,49.65,81.57,24.03,1
88.78,24.71,88.08,30.14,1
83.04,2.92,84.03,2.68,1
78.69,32.57,78.92,39.58,1
87,26.92,88.27,24.35,0
85.89,45.37,87.42,38.89,1
81.5,6.45,80.75,9.68,0
87.17,21.88,85.69,25.9,1
84.35,3.82,83.28,2.56,0
90.39,12.94,90.39,13.54,1
92.39,2.38,92.12,3.17,1
91.76,5.49,91.96,10.95,0
88.09,17.13,90.18,15.18,1
83.38,10.81,82.64,13.24,1
90.9,9.8,89.55,7.94,1
80.7,12.4,81.55,12.95,1
80.39,14.05,78.89,15.98,0
83.94,10.98,83.6,14.41,1
83.58,44.33,83.93,47.42,1
83.7,11.17,82.46,13.34,1
83.14,16.67,81.93,27.53,1
77.31,35.06,77.64,38.28,1
87.04,0.87,89.2,3.21,1
92.61,1.85,89.85,2.73,1
86.4,34.92,86.61,29.94,1
78.62,10.76,78,12.45,1
85.06,18.18,85.98,27,1
85.59,35.77,84.64,33.33,1
85.08,43.07,85.75,40.97,1
86.78,16.06,87.44,23.18,1
79.41,8.23,82.67,7.59,1
82.48,10.19,83.36,19,1
80.22,5.7,79.87,6.96,1
80.48,31.78,80.46,31.66,1
85.34,28.87,85.32,32.99,1
84.65,37.11,84.83,41.24,1
85.68,32.85,88.3,38.15,0
82.88,4.38,83.87,5.11,1
85.37,38.69,86.97,51.62,1
85.64,33.58,86.93,38.17,1
84.64,50.36,85.43,47.07,1
84.52,0.73,84.53,0.97,1
82.21,11.68,81.3,23.31,1
81.02,9.49,81.21,13.14,1
80.66,25.63,80.17,24.66,1
84.46,52.55,82.17,57.54,1
85.3,15.51,85.25,10.61,0
89.18,29.63,88.26,47.55,1
84.4,11.16,84.33,15.16,1
80.12,32.19,79.93,25.04,1
84.71,19.79,85.23,14.51,1
87.23,1.6,88.2,1.74,1
86.99,2.14,87.67,3.63,1
80.25,31.33,79.41,30.62,1
83.28,7.01,80.79,6.34,1
84.71,4.05,86.55,4.75,1
89.24,20,89.5,19.64,0
78.78,5.77,79.39,7.14,1
87.85,19.55,88.77,21.24,1
81.77,9.38,81.18,14.63,1
85.56,12,84.97,15.33,1
80.7,25,80.07,25.34,1
82.6,16,82,16.13,1
83.24,36.9,85.92,40.5,1
82.09,15.29,84.28,11.11,1
78.16,45.24,78.19,48.17,1
83.96,12.37,82.5,19.03,1
