,0,1,2,3,4,5,6,7,8,9,10
506,0.0,20.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
288,66.67,40.0,0.0,33.33,55.56,22.35,5.15,33.33,100.0,10.96,0.0
377,66.67,40.0,50.0,20.0,33.33,48.31,5.15,77.78,100.0,6.5,1.0
73,33.33,30.0,50.0,33.33,55.56,36.57,5.15,63.19,100.0,5.65,0.0
579,66.67,40.0,50.0,33.33,55.56,27.09,5.15,69.44,100.0,0.56,1.0
117,33.33,60.0,75.0,46.67,77.78,44.7,7.22,88.89,100.0,2.54,0.0
211,66.67,30.0,50.0,33.33,11.11,22.35,5.15,41.67,100.0,10.96,0.0
15,0.0,60.0,50.0,33.33,55.56,60.05,5.15,83.33,100.0,45.48,0.0
485,66.67,30.0,75.0,33.33,77.78,22.35,7.22,41.67,100.0,10.96,1.0
361,66.67,40.0,50.0,33.33,55.56,22.35,3.09,83.33,100.0,10.96,1.0
74,33.33,40.0,50.0,33.33,55.56,18.28,5.15,59.42,100.0,0.0,0.0
21,0.0,40.0,50.0,33.33,55.56,16.48,5.15,91.67,100.0,0.85,0.0
214,66.67,30.0,50.0,60.0,77.78,27.31,7.22,36.11,100.0,9.32,0.0
494,0.0,20.0,50.0,33.33,55.56,12.42,5.15,56.94,100.0,7.34,1.0
518,66.67,60.0,0.0,33.33,11.11,22.35,5.15,96.22,100.0,10.96,1.0
257,66.67,70.0,50.0,33.33,55.56,22.35,5.15,27.78,100.0,10.96,0.0
17,0.0,0.0,50.0,33.33,55.56,58.69,5.15,66.67,100.0,12.15,0.0
192,66.67,60.0,25.0,20.0,33.33,22.35,3.09,52.78,100.0,10.96,0.0
150,66.67,40.0,50.0,33.33,33.33,22.35,3.09,38.19,100.0,10.96,0.0
372,33.33,80.0,50.0,33.33,55.56,47.63,5.15,63.89,100.0,41.53,1.0
31,0.0,10.0,50.0,33.33,55.56,23.7,5.15,52.78,100.0,17.51,0.0
103,33.33,70.0,50.0,33.33,55.56,48.76,5.15,63.89,100.0,16.95,0.0
138,66.67,30.0,50.0,33.33,33.33,51.02,3.09,72.22,100.0,4.8,0.0
429,33.33,70.0,75.0,46.67,55.56,56.88,7.22,83.33,100.0,2.54,1.0
225,66.67,40.0,25.0,20.0,33.33,35.67,5.15,52.78,100.0,4.24,0.0
111,33.33,10.0,50.0,33.33,55.56,34.99,5.15,52.78,100.0,4.24,0.0
7,0.0,70.0,25.0,20.0,33.33,5.42,3.09,55.56,100.0,5.08,0.0
78,33.33,60.0,50.0,33.33,77.78,3.16,7.22,58.33,100.0,0.85,0.0
379,66.67,10.0,50.0,46.67,33.33,22.35,3.09,38.89,100.0,10.96,1.0
540,33.33,70.0,75.0,46.67,77.78,43.34,7.22,72.22,100.0,10.73,1.0
370,0.0,50.0,75.0,46.67,55.56,32.73,7.22,61.11,100.0,16.38,1.0
343,33.33,50.0,75.0,33.33,77.78,35.44,7.22,50.0,100.0,1.69,1.0
365,33.33,60.0,75.0,33.33,77.78,4.51,7.22,72.22,100.0,0.0,1.0
83,33.33,60.0,50.0,33.33,77.78,65.46,5.15,58.33,100.0,0.56,0.0
433,33.33,40.0,50.0,33.33,55.56,21.22,5.15,77.03,100.0,14.12,1.0
284,66.67,30.0,0.0,33.33,11.11,22.35,1.03,58.69,100.0,10.96,0.0
75,33.33,30.0,50.0,33.33,55.56,11.51,5.15,59.42,100.0,2.82,0.0
536,33.33,70.0,50.0,33.33,55.56,38.6,5.15,59.42,100.0,4.24,1.0
508,66.67,20.0,75.0,33.33,55.56,47.18,7.22,52.78,100.0,11.3,1.0
2,0.0,30.0,50.0,33.33,55.56,49.89,5.15,72.22,100.0,2.54,0.0
407,66.67,80.0,0.0,33.33,55.56,22.35,5.15,75.0,100.0,10.96,1.0
298,100.0,50.0,25.0,33.33,55.56,22.35,5.15,47.22,100.0,10.96,0.0
79,33.33,20.0,75.0,46.67,77.78,43.34,7.22,72.22,100.0,9.89,0.0
269,66.67,40.0,75.0,33.33,77.78,22.35,3.09,52.78,100.0,10.96,0.0
208,66.67,20.0,25.0,33.33,55.56,22.35,5.15,58.33,100.0,10.96,0.0
341,66.67,20.0,50.0,33.33,33.33,24.38,3.09,52.08,100.0,0.85,1.0
218,66.67,60.0,50.0,33.33,11.11,22.35,1.03,50.0,100.0,10.96,0.0
193,66.67,40.0,50.0,33.33,77.78,18.06,1.03,61.11,100.0,2.26,0.0
516,66.67,80.0,25.0,20.0,33.33,22.35,5.15,61.11,100.0,10.96,1.0
489,66.67,50.0,50.0,20.0,33.33,41.53,3.09,61.11,100.0,12.71,1.0
197,66.67,60.0,25.0,33.33,33.33,22.35,3.09,55.56,100.0,10.96,0.0
250,66.67,30.0,0.0,33.33,11.11,22.35,1.03,88.89,100.0,10.96,0.0
580,0.0,50.0,50.0,46.67,55.56,22.35,5.15,59.42,100.0,10.96,1.0
139,66.67,60.0,25.0,33.33,55.56,22.35,5.15,61.11,100.0,10.96,0.0
167,66.67,60.0,25.0,46.67,77.78,62.3,3.09,55.56,100.0,0.85,0.0
354,33.33,80.0,50.0,33.33,55.56,34.76,5.15,59.42,100.0,3.95,1.0
606,0.0,0.0,0.0,33.33,11.11,22.35,1.03,59.42,100.0,10.96,1.0
403,66.67,50.0,0.0,33.33,11.11,22.35,1.03,50.0,100.0,10.96,1.0
395,0.0,30.0,0.0,6.67,11.11,22.35,1.03,59.42,100.0,10.96,1.0
609,66.67,30.0,50.0,33.33,55.56,22.35,5.15,72.22,100.0,10.96,1.0
278,66.67,50.0,25.0,33.33,33.33,22.35,5.15,55.56,100.0,10.96,0.0
525,33.33,30.0,75.0,33.33,55.56,34.54,5.15,75.0,100.0,1.69,1.0
100,33.33,80.0,50.0,33.33,55.56,32.73,5.15,63.89,100.0,2.54,0.0
305,100.0,60.0,0.0,33.33,11.11,22.35,5.15,72.22,100.0,10.96,0.0
490,66.67,40.0,50.0,33.33,55.56,22.35,5.15,75.0,100.0,10.96,1.0
632,66.67,40.0,50.0,33.33,55.56,22.35,1.03,47.22,100.0,10.96,1.0
640,66.67,50.0,25.0,46.67,55.56,10.84,3.09,55.56,100.0,3.95,1.0
310,100.0,70.0,0.0,33.33,33.33,22.35,5.15,66.67,100.0,10.96,0.0
608,66.67,30.0,50.0,46.67,11.11,22.35,5.15,44.44,100.0,10.96,1.0
321,100.0,60.0,25.0,33.33,55.56,22.35,5.15,38.89,100.0,10.96,0.0
268,66.67,60.0,100.0,33.33,33.33,22.35,9.28,41.67,100.0,10.96,0.0
357,66.67,30.0,50.0,33.33,11.11,47.18,5.15,50.0,100.0,3.67,1.0
