ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2824,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade (Lainnya)""",Nasional,4,1,2.03
2825,0,0,0,0,0,0,4,1,3.50
2826,0,0,0,0,0,0,6,0,3.15
2827,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,5,0,0.75
2828,0,0,0,0,0,0,2,1,2.38
2829,0,0,0,0,0,0,8,1,3.68
2830,0,0,0,0,0,0,0,1,3.00
2831,"""Seni Suara/Musik""",Propinsi,"""Olimpiade Kimia""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,8,1,2.89
2832,0,0,0,0,0,0,5,1,3.63
2833,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Biologi""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,6,1,3.39
2834,Penelitian,Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,4,0,3.06
2835,0,0,0,0,0,0,4,1,3.00
2836,0,0,0,0,0,0,0,0,0.00
2837,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,5,1,2.83
2838,0,0,0,0,0,0,0,0,3.41
2839,0,0,0,0,0,0,3,1,3.56
